"<Run Result>";"design variable 1 (Model.STK.Mono_BLOS_03.POLHEO1.Propagator.ApogeeAltitude)";"design variable 2 (Model.STK.Mono_BLOS_03.POLHEO1.Propagator.PerigeeAltitude)";"response (Model.STK.Mono_BLOS_03.POL_Cov_Def.CovTime_Perc_FoM.Overall_Value.Minimum)"
"<RUN SUCCEEDED>";"21000";"650";"53,556383102253"
"<RUN SUCCEEDED>";"21000";"660";"53,4262075447101"
"<RUN SUCCEEDED>";"21000";"670";"53,3367916722762"
"<RUN SUCCEEDED>";"21000";"680";"53,3507857412815"
"<RUN SUCCEEDED>";"21000";"690";"53,3343565599625"
"<RUN SUCCEEDED>";"21000";"700";"53,2566634047408"
"<RUN SUCCEEDED>";"21000";"710";"53,1987478256952"
"<RUN SUCCEEDED>";"21000";"720";"53,1813325892816"
"<RUN SUCCEEDED>";"21000";"730";"53,1317487722539"
"<RUN SUCCEEDED>";"21000";"740";"53,1281381784058"
"<RUN SUCCEEDED>";"21000";"750";"53,0266739893718"
